min,sec,AscRate,Hgt/MSL,Pressure,Temp,RH,Dewp,Dir,Speed,
10,30,3.3,2376,770.8,15.0,55,6.1,66,3.8,
11,0,3.2,2473,762.0,14.6,54,5.4,68,3.5,
11,30,3.4,2574,753.0,13.7,63,6.8,64,3.4,
12,0,3.2,2671,744.4,13.1,57,4.8,61,3.6,
12,30,3.2,2767,735.9,12.3,58,4.3,57,3.4,
13,0,3.1,2861,727.7,11.6,58,3.6,46,3.2,
13,30,3.3,2959,719.2,11.0,63,4.2,28,3.1,
14,0,3.2,3055,711.0,10.9,59,3.2,8,3.8,
14,30,3.3,3153,702.7,10.5,63,3.8,35,4.9,
15,0,3.1,3247,694.9,10.2,53,1.1,30,5.5,
16,0,3.2,3441,678.8,9.0,52,-0.3,34,7.4,
17,0,3.3,3639,662.7,7.8,57,-0.2,34,8.4,
18,0,3.3,3840,646.7,6.2,58,-1.4,31,8.8,
19,0,3.5,4046,630.7,4.3,71,-0.5,30,8.6,
20,0,3.4,4250,615.0,2.7,65,-3.2,32,8.7,
21,0,3.6,4471,598.4,0.9,75,-3.0,2,9.2,
22,0,3.3,4665,584.1,-0.8,81,-3.6,3,10.4,
23,0,3.4,4863,569.8,-2.3,80,-5.3,4,10.5,
24,0,3.4,5067,555.3,-3.6,72,-7.9,4,8.7,
25,0,3.3,5269,541.3,-4.0,38,-16.2,15,7.1,
26,0,3.6,5484,526.7,-5.2,49,-14.3,11,9.1,
27,0,4.1,5735,510.1,-7.0,21,-25.7,9,7.1,
28,0,3.7,5955,495.9,-8.6,22,-26.6,10,8.8,1680
29,0,3.3,6159,483.0,-9.1,9,-36.3,359,8.7,1740
30,0,3.5,6366,470.2,-9.9,5,-42.7,2,6.5,1800
31,0,3.5,6579,457.4,-10.9,1,-57.4,349,2.5,1860
32,0,3.5,6785,445.2,-11.1,2,-51.8,290,1.5,1920
33,0,3.6,7002,432.8,-12.1,1,-58.2,256,1.3,1980
34,0,4.0,7246,419.2,-13.0,1,-58.8,147,2.0,2040
35,0,3.5,7463,407.4,-13.0,1,-58.8,153,3.5,2100
36,0,5.4,7758,391.9,-14.5,1,-59.8,96,5.5,2160
37,0,4.4,8018,378.6,-15.7,1,-60.5,93,11.0,2220
38,0,3.6,8237,367.8,-17.1,1,-61.5,117,10.4,2280
39,0,3.6,8454,357.2,-18.6,1,-62.4,127,9.1,2340
40,0,3.8,8682,346.4,-20.4,1,-63.6,126,8.3,2400
41,0,3.8,8907,336.0,-22.4,1,-65.0,127,8.0,2460
42,0,3.7,9129,326.0,-24.5,2,-61.1,131,8.3,2520
43,0,3.6,9345,316.4,-26.5,3,-59.3,128,8.8,2580
44,0,3.7,9566,306.8,-28.5,2,-63.9,122,9.0,2640
45,0,3.8,9790,297.3,-30.5,5,-58.2,115,11.1,2700
46,0,3.5,10011,288.2,-32.6,8,-56.0,117,12.7,2760
47,0,3.6,10233,279.2,-33.7,8,-56.9,127,13.5,2820
48,0,3.6,10446,270.8,-35.8,8,-58.6,131,13.5,2880
49,0,3.7,10665,262.4,-38.0,12,-57.1,134,12.9,2940
50,0,3.6,10876,254.4,-40.0,13,-58.1,135,12.9,3000
51,0,3.3,11079,247.0,-42.0,14,-59.2,134,12.9,3060
52,0,3.6,11292,239.3,-44.0,17,-59.4,129,13.5,3120
53,0,3.5,11503,231.8,-46.0,18,-60.6,125,13.0,3180
54,0,3.7,11723,224.3,-47.9,19,-61.9,129,14.0,3240
55,0,3.5,11934,217.2,-49.9,26,-61.2,132,14.2,3300
56,0,3.5,12147,210.2,-51.7,29,-61.9,131,14.0,3360
57,0,3.4,12355,203.5,-53.1,23,-65.0,133,16.5,3420
58,0,3.5,12565,197.0,-53.4,14,-68.9,128,16.8,3480
59,0,3.8,12784,190.4,-55.1,7,-75.2,126,15.8,3540
60,0,3.8,13010,183.7,-56.9,8,-75.7,123,15.6,3600
61,0,4.1,13252,176.8,-59.0,9,-76.7,114,16.3,3660
62,0,4.0,13491,170.2,-61.1,11,-77.1,113,15.6,3720
63,0,4.0,13731,163.7,-63.2,13,-77.8,120,14.6,3780
64,0,3.9,13968,157.4,-65.0,16,-78.0,130,15.3,3840
65,0,3.9,14199,151.6,-66.2,16,-79.0,137,15.0,3900
66,0,3.9,14432,145.8,-67.7,17,-79.9,142,15.7,3960
67,0,3.7,14661,140.4,-69.0,18,-80.7,140,16.0,4020
68,0,3.6,14880,135.3,-70.1,17,-82.1,134,15.8,4080
69,0,4.2,15120,130.0,-70.9,18,-82.4,116,13.7,4140
70,0,4.2,15377,124.4,-72.8,19,-83.7,101,11.5,4200
71,0,4.3,15638,119.0,-75.2,21,-85.3,91,8.4,4260
72,0,4.1,15891,113.8,-77.4,24,-86.4,91,5.5,4320
73,0,3.7,16116,109.5,-78.7,27,-86.9,128,5.5,4380
74,0,3.7,16337,105.3,-79.9,30,-87.4,144,7.1,4440
75,0,3.8,16561,101.2,-78.7,31,-86.1,146,6.7,4500
76,0,3.9,16793,97.2,-77.2,30,-84.9,109,7.4,4560
77,0,3.8,17023,93.4,-76.5,28,-84.7,96,8.5,4620
78,0,3.8,17255,89.7,-77.0,26,-85.6,94,6.3,4680
79,0,3.9,17486,86.1,-77.2,24,-86.3,113,6.6,4740
80,0,4.3,17738,82.4,-76.2,23,-85.6,183,6.8,4800
81,0,4.1,17989,78.9,-75.3,21,-85.4,189,11.2,4860
82,0,4.1,18241,75.6,-75.1,19,-85.8,159,11.9,4920
83,0,3.8,18473,72.6,-73.9,16,-85.8,109,10.2,4980
84,0,4.0,18713,69.7,-73.3,14,-86.0,91,9.0,5040
85,0,4.2,18959,66.8,-72.9,11,-87.1,83,6.6,5100
86,0,4.5,19229,63.8,-69.6,9,-85.5,98,7.5,5160
87,0,4.4,19487,61.1,-69.3,6,-87.7,94,8.3,5220
88,0,4.1,19729,58.7,-68.0,5,-87.7,99,7.6,5280
89,0,4.3,19980,56.3,-66.7,3,-89.6,70,8.1,5340
90,0,4.7,20250,53.9,-66.8,3,-89.7,79,7.3,5400
91,0,4.6,20528,51.5,-66.1,2,-91.5,74,8.5,5460
92,0,4.2,20784,49.3,-65.5,2,-91.0,88,11.2,5520
93,0,4.5,21047,47.2,-66.5,2,-91.8,79,9.7,5580
94,0,4.9,21330,45.1,-66.0,1,-95.2,82,10.6,5640
95,0,4.6,21610,43.1,-64.9,1,-94.4,70,14.9,5700
96,0,3.9,21853,41.4,-63.9,1,-93.7,70,15.1,5760
97,0,4.1,22093,39.8,-61.3,1,-91.8,77,17.6,5820
98,0,4.6,22369,38.1,-58.8,1,-90.0,72,16.7,5880
99,0,4.6,22650,36.4,-54.5,1,-87.0,82,17.7,5940
100,0,4.7,22930,34.9,-51.7,1,-85.0,84,19.6,6000
101,0,5.0,23228,33.3,-51.4,1,-84.8,73,19.3,6060
102,0,5.0,23531,31.8,-51.9,1,-85.1,69,14.4,6120
103,0,4.8,23823,30.4,-51.5,1,-84.8,80,9.0,6180
104,0,4.8,24110,29.1,-52.7,1,-85.7,89,8.4,6240
105,0,4.9,24396,27.8,-54.5,1,-87.0,108,8.5,6300
106,0,4.7,24680,26.6,-55.1,1,-87.4,129,11.6,6360
107,0,4.7,24956,25.5,-56.0,1,-88.0,133,13.0,6420
108,0,4.8,25241,24.4,-56.0,1,-88.0,134,14.0,6480
109,0,4.9,25523,23.3,-55.9,1,-87.9,132,15.7,6540
110,0,4.7,25799,22.3,-54.9,1,-87.2,114,17.2,6600
111,0,4.8,26079,21.4,-54.1,1,-86.7,103,20.5,6660
112,0,4.9,26377,20.4,-52.9,1,-85.8,90,22.1,6720
113,0,5.0,26679,19.5,-53.8,1,-86.5,91,18.0,6780
114,0,4.4,26947,18.7,-52.5,1,-85.5,96,15.4,6840
115,0,4.2,27195,18.0,-50.2,1,-83.9,83,14.6,6900
116,0,4.3,27449,17.3,-48.7,1,-82.9,91,13.1,6960
